             including            including ['P2,821 113 1142 190']
                   the                  the ['P2,1172 116 1279 178']
               Abitibi              Abitibi ['P2,1308 115 1576 188']
                     ,                    , ['P2,1308 115 1576 188']
             Mattagami            Mattagami ['P2,1612 114 1990 189']
                   and                  and ['P2,2022 114 2149 176']
            Missinaibi           Missinaibi ['P2,124 208 474 271']
                     (                    ( ['P2,517 208 745 285']
                 which                which ['P2,517 208 745 285']
                 merge                merge ['P2,786 228 993 284']
                    to                   to ['P2,1031 218 1101 271']
                  form                 form ['P2,1145 210 1313 273']
                   the                  the ['P2,1353 210 1460 273']
                 Moose                Moose ['P2,1498 212 1729 273']
                 River                River ['P2,1769 208 1982 285']
                     )                    ) ['P2,1769 208 1982 285']
                   and                  and ['P2,2024 209 2151 271']
               farther              farther ['P2,124 306 358 366']
                 north                north ['P2,389 306 600 376']
                     ,                    , ['P2,389 306 600 376']
                   the                  the ['P2,633 306 739 366']
                Albany               Albany ['P2,768 306 1022 379']
                   and                  and ['P2,1053 308 1179 366']
          Attawapiskat         Attawapiskat ['P2,1208 307 1674 381']
                Rivers               Rivers ['P2,1705 307 1941 368']
                     .                    . ['P2,1705 307 1941 368']
X             Outcrops            Out-crops ['P2,1977 307 2149 366', 'P2,124 418 307 475']
X                   of                  of' ['P2,350 401 425 463']
             Paleozoic            Paleozoic ['P2,466 400 798 463']
                 rocks                rocks ['P2,839 402 1026 469']
             generally            generally ['P2,1068 402 1381 477']
                   are                  are ['P2,1424 420 1527 465']
            restricted           restricted ['P2,1571 402 1890 465']
                    to                   to ['P2,1932 410 2002 463']
                   the                  the ['P2,2046 403 2151 463']
              channels             channels ['P2,124 495 417 558']
                   and                  and ['P2,440 496 565 558']
                 major                major ['P2,585 495 794 572']
           tributaries          tributaries ['P2,811 497 1169 560']
                    of                   of ['P2,1192 499 1267 560']
                 these                these ['P2,1282 499 1456 560']
                 river                river ['P2,1477 498 1637 560']
               systems              systems ['P2,1659 507 1941 573']
                     .                    . ['P2,1659 507 1941 573']
                   The                  The ['P2,257 582 390 653']
              southern             southern ['P2,407 593 706 653']
                margin               margin ['P2,723 593 967 667']
                    of                   of ['P2,984 593 1061 655']
                   the                  the ['P2,1072 595 1179 655']
                 Moose                Moose ['P2,1196 595 1426 655']
                 River                River ['P2,1443 595 1629 655']
                 Basin                Basin ['P2,1646 593 1835 655']
                     (                    ( ['P2,1854 593 2010 666']
                   Fig                  Fig ['P2,1854 593 2010 666']
                     .                    . ['P2,1854 593 2010 666']
                     1                    1 ['P2,2032 595 2082 667']
                     )                    ) ['P2,2032 595 2082 667']
                    is                   is ['P2,2099 593 2149 655']
                partly               partly ['P2,124 689 327 763']
                 fault                fault ['P2,344 689 504 749']
            controlled           controlled ['P2,524 688 873 749']
                   and                  and ['P2,892 689 1018 749']
                    is                   is ['P2,1037 689 1087 749']
               defined              defined ['P2,1108 689 1364 751']
     physiographically    physiographically ['P2,1382 688 1996 765']
                    by                   by ['P2,2013 689 2096 763']
                     a                    a ['P2,2115 706 2153 749']
                 north                north ['P2,124 785 313 845']
                facing               facing ['P2,332 782 541 859']
            escarpment           escarpment ['P2,558 792 949 859']
                   and                  and ['P2,968 784 1095 847']
                    an                   an ['P2,1113 802 1197 847']
                abrupt               abrupt ['P2,1214 786 1442 861']
                change               change ['P2,1461 786 1701 860']
                  from                 from ['P2,1722 786 1892 847']
                   the                  the ['P2,1909 786 2015 847']
X                  ?at                 flat ['P2,2034 784 2151 847']
                swampy               swampy ['P2,124 897 401 954']
               lowland              lowland ['P2,416 879 690 942']
                    to                   to ['P2,707 887 777 942']
