3	margen	margen	FW	O	margen	nn	6	20	['P1,570 1175 685 1199']
4	norte	norte	FW	O	norte	nn	6	20	['P1,701 1170 779 1193']
5	del	del	FW	O	del	nn	6	20	['P1,795 1166 839 1192']
6	rio	rio	FW	O	rio	_	0	20	['P1,855 1169 894 1193']
7	Atuel	Atuel	NNP	O	Atuel	nn	14	20	['P1,912 1167 1003 1198']
8	,	,	,	O	,	_	0	20	['P1,912 1167 1003 1198']
9	Mendoza	Mendoza	NNP	PERSON	Mendoza	appos	14	20	['P1,1021 1166 1162 1197']
10	,	,	,	O	,	_	0	20	['P1,1021 1166 1162 1197']
11	Argentina	Argentina	NNP	LOCATION	Argentina	appos	14	20	['P1,1178 1167 1342 1198']
12	,	,	,	O	,	_	0	20	['P1,1178 1167 1342 1198']
13	la	la	NNP	O	la	appos	14	20	['P1,1359 1167 1385 1193']
14	sucesion	sucesi6n	NNP	O	sucesion	nn	15	20	['P1,1402 1167 1533 1193']
15	fosilifera	fosilifera	NN	O	fosilifera	dep	6	20	['P1,1550 1166 1694 1193']
16	marina	marina	NN	O	marina	dep	15	20	['P1,1712 1167 1828 1193']
17	del	del	FW	O	del	nn	16	20	['P1,1846 1166 1893 1192']
18	Mesozoico	Mesozoico	FW	O	mesozoico	nn	16	20	['P1,281 1207 432 1233']
19	comienza	comienza	FW	O	comienza	dep	16	20	['P1,443 1208 583 1233']
20	con	con	NN	O	con	nn	21	20	['P1,595 1216 644 1233']
21	niveles	niveles	NNS	O	nivele	dep	6	20	['P1,657 1208 762 1233']
22	del	del	DT	O	del	det	25	20	['P1,773 1207 818 1233']
23	Hettangiano	Hettangiano	NNP	O	Hettangiano	nn	25	20	['P1,830 1207 1019 1239']
24	y	y	NN	O	y	nn	25	20	['P1,1030 1216 1047 1239']
25	Sinemuriano	Sinemuriano	NNP	O	Sinemuriano	dep	21	20	['P1,1059 1207 1253 1234']
26	inferior	inferior	JJ	O	inferior	amod	25	20	['P1,1265 1207 1385 1234']
27	.	.	.	O	.	_	0	20	['P1,1265 1207 1385 1234']

1	Tradicionalmente	Tradicionalmente	FW	O	tradicionalmente	nn	7	21	['P1,1408 1207 1678 1233']
2	se	se	FW	O	se	nn	7	21	['P1,1691 1215 1721 1233']
3	habia	habia	FW	O	habia	nn	7	21	['P1,1734 1206 1820 1233']
4	considerado	con-siderado	FW	O	considerado	nn	7	21	['P1,1832 1216 1893 1233', 'P1,281 1246 410 1272']
5	que	que	FW	O	que	nn	7	21	['P1,418 1255 471 1279']
6	en	en	FW	O	en	nn	7	21	['P1,481 1255 515 1272']
7	la	la	FW	O	la	_	0	21	['P1,524 1247 551 1272']
8	region	regi6n	NN	O	region	dep	7	21	['P1,561 1248 656 1279']
9	el	el	JJ	O	el	amod	14	21	['P1,665 1247 690 1272']
10	J	J	NN	O	j	nn	14	21	['P1,697 1248 714 1273']
11	urasico	ur6sico	NN	O	urasico	nn	14	21	['P1,718 1248 825 1273']
12	marino	marino	NN	O	marino	nn	14	21	['P1,834 1248 941 1273']
13	comenzaba	comenzaba	NN	O	comenzaba	nn	14	21	['P1,950 1247 1115 1273']
14	con	con	NN	O	con	dep	8	21	['P1,1124 1256 1173 1273']
15	el	el	FW	O	el	nn	16	21	['P1,1182 1247 1207 1272']
16	Sinemuriano	Sinemuriano	FW	O	sinemuriano	dep	7	21	['P1,1216 1247 1409 1273']
17	superior	superior	JJ	O	superior	amod	16	21	['P1,1419 1247 1552 1278']
